,Appliance,Minimum,Maximum,Standby,Other Name(s),References,Notes
0,100W light bulb (Incandescent),100W,100W,0W,,[1],
1,22 Inch LED TV,17W,17W,0.5W,,,
2,"25"" colour TV",150W,150W,,,,
3,"3"" belt sander",1000W,1000W,,,,
4,32 Inch LED TV,20W,60W,1W,,,
5,42 Inch LED TV,58W,60W,0.3W,,[1],
6,42 Inch Plasma TV,450W,600W,,Plasma TV,,
7,46 Inch LED TV,60W,70W,1W,,[1],
8,49 Inch LED TV,85W,85W,1W,,,
9,55 Inch LED TV,116W,116W,0.5W,,[1],
10,60W light bulb (Incandescent),60W,60W,0W,,[1],
11,65 Inch LED TV,120W,130W,1W,,[1],
12,82 Inch LED TV,228W,295W,0.5W,,[1],
13,"9"" disc sander",1200W,1200W,,,,
14,Air Cooler,65W,80W,,,,
15,Air Fryer,1500W,1500W,,,[1],
16,Air Purifier,25W,30W,,,[1],
17,Amazon Echo,3W,3W,2W,,,
18,Amazon Echo Dot,2W,3W,,,,
19,Amazon Echo Show,2W,4W,0.1W,,,
20,American-Style Fridge Freezer,40W,80W,,"American Fridge Freezer,Double Door Refrigerator",[1],
21,Apple TV,3W,6W,0.3W,,[1],
22,Aquarium Pump,20W,50W,,,[1],
23,AV Receiver,450W,450W,,,[1],
24,Bathroom Towel Heater,60W,150W,,"Towel Rail,Heated Towel Rail",,
25,Ceiling Fan,60W,70W,0W,,[1],
26,Chromebook,45W,45W,,Chrome Book,[1],
27,Chromecast,2W,2W,,,,
28,Clock radio,1W,2W,,,,
29,Clothes Dryer,1000W,4000W,,"Tumble Dryer,Dryer",,
30,Coffee Maker,800W,1400W,,,,
31,Computer Monitor,25W,30W,,,[1],
32,Cooker Hood,20W,30W,0W,,[1],
33,Corded Drill,600W,850W,,Electric Drill,[1],
34,Corded Electric Handheld Leaf Blower,2500W,2500W,,,[1],
35,Cordless Drill Charger,70W,150W,,,,
36,Cpap machine,30W,60W,,CPAP machine,,
37,Curling Iron,25W,35W,0W,,[1],
38,DAB Mains Radio,5W,9W,,DAB Radio,,
39,Deep Freezer,19W,19W,,Chest Freezer,[1],168 Kwh/year
40,Dehumidifier,240W,240W,,,[1],
41,Desktop Computer,100W,450W,,,[1],
42,Dishwasher,1200W,1500W,,,,
43,Domestic Water Pump,200W,300W,0W,Shower Water Pump,[1],
44,DVD Player,26W,60W,,,,
45,Electric Blanket,200W,200W,,,,
46,Electric Boiler,4000W,14000W,,,,
47,Electric Doorbell Transformer,2W,2W,,,,
48,Electric Heater Fan,2000W,3000W,,,[1],
49,Electric Kettle,1200W,3000W,0W,Kettle,,
50,Electric Mower,1500W,1500W,,,,
51,Electric Pressure Cooker,1000W,1000W,,Pressure Cooker,[1],
52,Electric Shaver,15W,20W,,,,
53,Electric stove,2000W,2000W,,,[1],
54,Electric Tankless Water Heater,6600W,8800W,,,[1],
55,Electric Thermal Radiator,500W,500W,,Thermal Radiator,[1],
56,Electric Toothbrush Charger,6W,6W,,,,
57,Espresso Coffee Machine,1300W,1500W,,Espresso Machine,,
58,EV Car Charger,2000W,7000W,,,,
59,EV Home Charger,1600W,3400W,,,,
60,Evaporative Air Conditioner,2600W,2600W,,Evaporative Cooler,[1],
61,External Hard Drive,1W,3W,,,,
62,Extractor Fan,12W,12W,,Bathroom Fan,[1],
63,Fluorescent Lamp,28W,45W,,Fluorescent Tube Light,[1],
64,Food Blender,300W,400W,,"Mixer,Food Processor,Blender,Juice Blender,Juice Mixer",[1],
65,Food Dehydrator,800W,800W,,Tray Dehydrator,[1],
66,Freezer,30W,50W,,,,
67,Fridge,100W,220W,,,,
68,Fridge / Freezer,150W,400W,,,,
69,Fryer,1000W,1000W,,"Deep Fat Fryer,Deep Fryer",[1],
70,Game Console,120W,200W,,,[1],
71,Gaming PC,300W,600W,1W,Gaming Computer,,
72,Garage Door Opener,300W,400W,,Electric Garage Door,,As the door only operates for a short time (10secs?) the kWH value is low
73,Google Home Mini,15W,15W,2W,Google Nest Mini,[1],
74,Guitar Amplifier,20W,30W,,,,
75,Hair Blow Dryer,1800W,2500W,,"Blow Dryer, Hair Dryer, Hair Drier",,
76,Hand Wash Oversink Water Heater,3000W,3000W,,,[1],
77,Heated Bathroom Mirror,50W,100W,,,,
78,Heated Hair Rollers,400W,400W,,Heated Rollers,[1],
79,Home Air Conditioner,1000W,4000W,,"AC,A/C,Air Con",,
80,Home Internet Router,5W,15W,,Router,,
81,Home Phone,3W,5W,2W,DECT Telephone,,
82,Home Sound System,95W,95W,1W,,[1],
83,Hot Water Dispenser,1200W,1300W,,"Instant Hot Water Tap,Water Boiler",[1],
84,Hot Water Immersion Heater,3000W,3000W,,,,
85,Humidifier,35W,40W,,,[1],
86,iMac,60W,240W,1W,,,
87,Induction Hob (per hob),1400W,1800W,,"Induction Stove,Induction Cooking Stove,Electric Cooker,Induction Cooktop",,
88,Inkjet Printer,20W,30W,,Printer,,
89,Inverter Air conditioner,1300W,1800W,,,,
90,Iron,1000W,1000W,,Electric Iron,,
91,Jacuzzi,3000W,7500W,1500W,Hot Tub,,
92,Kitchen Extractor Fan,200W,200W,,,[1],
93,Laptop Computer,50W,100W,,Laptop,,
94,Laser Printer,600W,800W,,,,
95,Lawnmower,1000W,1400W,,,,
96,LED Christmas Lights,5W,5W,,Tree Lights,,
97,LED Light Bulb,7W,10W,0W,Energy Saver Bulb,[1][2],
98,LG Soundbar,23W,30W,0.5W,Soundbar,,
99,Mi Box,5W,7W,3W,Mi Box Android,,
100,Microwave,600W,1700W,3W,Microwave Oven,[1][2],
101,Night Light,1W,1W,0W,,,
102,Nintendo Switch AC Adapter,7W,40W,,,,
103,Outdoor Hot Tub,60W,500W,,"Canadian Spa,Outdoor spa",[1],
104,Oven,2150W,2150W,,Electric Oven,,
105,Paper Shredder,200W,220W,,,,
106,Pedestal Fan,50W,60W,,"Tall Standing Fan,Floor Fan,Stand Fan",,
107,Percolator,800W,1100W,,Coffee Maker,[1],
108,Philips Hue Smart Bulb,8W,9W,0.4W,Hue lights,,
109,Phone Charger,4W,7W,,"Smart Phone Charger,Cell Phone Charger,Mobile Phone Charger",,
110,Playstation 4,85W,90W,,PS4,,
111,Playstation 5,160W,200W,,PS5,,
112,Portable Air Conditioner,1000W,1200W,,Mobile Air Conditioner,,
113,Power Shower,7500W,10500W,0W,Electric Shower,[1],
114,Pressure Cooker,700W,700W,,,[1],
115,Pressure Washer,1500W,1500W,,Electric Pressure Washer,,
116,Projector,220W,270W,1W,,,
117,Refrigerator,100W,200W,,,,
118,Rice Cooker,200W,800W,,,[1],
119,Ring Spotlight Cam Wired,25W,4W,2W,,,
120,Sandwich Maker,700W,1000W,,"Sandwich Press, Sandwich Toaster",,
121,Scanner,10W,18W,,,,
122,Set Top Box,27W,30W,,"Cable Box,Humax Box",,
123,Sewing Machine,70W,80W,,,[1],
124,Singer Sewing Machine,100W,100W,,,,
125,Sky Q 2TB Box,40W,40W,,Sky Box,[1],
126,Slow Cooker,160W,180W,,,[1],
127,Smoke Detector,0W,1W,,Mains Connected Smoke Detector,,
128,Soldering Iron,30W,60W,,,,
129,Space Heater,2000W,5000W,,,[1],
130,Steam Iron,2200W,2500W,,,[1],
131,Steriliser,650W,650W,,Sterilizer,[1],
132,Straightening Iron,75W,300W,,Hair Straighteners,,
133,Strimmer,300W,500W,,,,
134,Submersible Water Pump,200W,400W,,"Pool Pump,Sump Pump,Well Pump",[1],
135,Table Fan,10W,25W,,Desk Fan,,
136,Table Top Fridge,10W,15W,,Mini Fridge,,
137,Tablet Charger,10W,15W,,,,
138,Tablet Computer,5W,10W,,,[1],
139,Toaster,800W,1800W,0W,,[1],
140,Tower Fan,60W,60W,,,[1],
141,Treadmill,280W,900W,,,,
142,Tube Light (1500mm),22W,22W,,,,
143,"TV (19"" colour)",40W,100W,1W,,[1],
144,Vacuum Cleaner,450W,900W,0W,,[1][2],
145,Wall Fan,45W,60W,0W,,,
146,Washing Machine,500W,500W,1W,Clothes Washer,,"In the EU, power consumption of Washing Machines is typically given in the form of Annual Power Consumption. This is calculated based on 220 standard washing cycles, made up as follows: 60°C full load (3x), 60°C half load (2x), 40°C half load (2x) for 220 washing cycles."
147,Water Dispenser,100W,100W,,,[1],
148,Water Feature,35W,35W,,,,
149,Water Filter and Cooler,70W,100W,,Water Cooler,[1],
150,WiFi Booster,1W,2W,,"WiFi Repeater,WiFi Extender,Range Extender",,
151,WiFi Router,4W,10W,4W,Router,,
152,Window Air Conditioner,500W,1500W,,Window AC,,
153,Wine cooler (18 bottles),83W,83W,0W,,[1],
154,Xbox One,50W,110W,14W,,,
